Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Feb 26, 2020;Feb 27, 2020;1,540,229.25;1,571,460.00;31,230.75;1,028,023.50
Feb 27, 2020;Feb 28, 2020;1,550,928.75;1,592,442.75;41,514.00;1,181,756.50
Feb 28, 2020;Feb 29, 2020;1,534,500.25;1,571,837.50;37,337.25;826,469.75
Feb 29, 2020;Mar 1, 2020;1,342,279.00;1,370,211.00;27,932.00;413,732.50
Mar 1, 2020;Mar 2, 2020;1,229,312.75;1,271,352.25;42,039.50;392,684.75
Mar 2, 2020;Mar 3, 2020;1,478,471.75;1,512,259.50;33,787.75;1,091,958.75
Mar 3, 2020;Mar 4, 2020;1,503,506.25;1,541,641.00;38,134.75;1,157,799.75
Mar 4, 2020;Mar 5, 2020;1,510,674.00;1,549,076.50;38,402.50;1,196,424.50
Mar 5, 2020;Mar 6, 2020;1,517,444.00;1,552,242.25;34,798.25;1,114,325.25
Mar 6, 2020;Mar 7, 2020;1,528,042.25;1,564,954.75;36,912.50;940,200.50
Mar 7, 2020;Mar 8, 2020;1,294,278.50;1,326,605.25;32,326.75;825,853.25
Mar 8, 2020;Mar 9, 2020;1,225,136.00;1,271,487.75;46,351.75;515,266.00
Mar 9, 2020;Mar 10, 2020;1,455,491.75;1,489,549.25;34,057.50;1,043,122.50
Mar 10, 2020;Mar 11, 2020;1,603,121.75;1,638,023.00;34,901.25;652,805.75
Mar 11, 2020;Mar 12, 2020;1,555,543.50;1,597,564.50;42,021.00;723,711.25
Mar 12, 2020;Mar 13, 2020;1,567,162.00;1,616,023.75;48,861.75;536,898.75
Mar 13, 2020;Mar 14, 2020;1,539,160.75;1,586,203.50;47,042.75;622,514.00
Mar 14, 2020;Mar 15, 2020;1,256,870.00;1,276,506.25;19,636.25;863,505.00
